row,F W,G W,H W,I W,J W,K W,L W,M W,N W,O W,P W,Q W,R W,S W,T W,U W,V W,W W,X W,Y W,Z W,A E,B E,C E,D E,E E,F E,G E,H E,I E,J E,K E,L E,M E,N E,O E,P E,Q E,R E,S E,T E,U E,V E,W E,X E,Y E,Z E
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A large river runs west to east and has two smaller streams branching off to the south.,A grove of pine trees surrounding a river.,,"A small hill of exposed rock that rises above the surrounding forest.
  From the top, there's a clear view of the surrounding area, making it a good
  lookout spot.",,"A cave system nestled at the base of a hill, home to a pack of wolves. The entrance is littered with bones and other remnants of their hunts.",,,"The first summit on the hillside, offering a great view of the ocean",A fallen tree has become a massive piece of driftwood,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A wide area scattered with large, moss-covered boulders. The rocks create
  natural mazes and hiding spots for small creatures.",,"A section of the forest where thick, creeping vines cover the
  trees and ground. The vines are known to grow rapidly and can be difficult to
  navigate through.","A cave system nestled at the base of a hill, home to a pack of wolves.
  The entrance is littered with bones and other remnants of their hunts.",A clearing that opens up to a view of the Silver Hills a few miles away,"A massive oak tree with twisted branches, its bark scarred by lightning.",A dense patch of thorny bushes and brambles that make travel difficult. The thicket is impassable without careful navigation or clearing a path.,, Rocky shore begins to turn to sand,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A small, clear stream that cuts through the forest, providing a reliable
  water source. The stream is home to various fish and amphibians.","A series of interconnected tunnels and dens created by foxes.
  The burrow is a labyrinthine network that provides shelter to various small
  animals.","A small, secluded pond surrounded by dense foliage. The water is crystal
  clear, and appears to be a good spot for fishing.",,"A ring of standing stones, each covered in strange, ancient runes. The purpose of the circle is unclear, but it radiates a faint magical aura.","A stone well, long unused and covered in vines. The water inside is still
  fresh, though the well is often overlooked due to its age.","A clearing surrounded by silver birch trees, their bark gleaming in the sunlight. The ground is soft and grassy, often used by animals as a grazing spot.",,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The remains of a stone statue, now toppled and partially buried in the
  earth. Its features are worn away by time, but it appears to have once
  depicted a warrior or a god.","The remnants of a wooden bridge that once spanned a deep
  ravine. Now, only a few rotting planks remain, making it a treacherous
  crossing.",,"A small, sunken area surrounded by tall trees, creating a natural
  clearing that remains cool and dark throughout the day. A good spot for
  setting up camp.",,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A massive fallen log, hollowed out over time, that provides a
  natural tunnel. It’s wide enough for several people to walk through side by
  side, and often used as a landmark for travelers.",,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
